पतलून,trousers 
चिन्तित,unhappy
दुःखी,unhappy
दूर्भाग्यपूर्ण,unhappy
अनुचित,unhappy
अस्वास्थ्यकर,ढंग से unhealthily
अस्वस्थता,unhealthiness 
अस्वस्थ,unhealthy
असाधारण,unhealthy
अस्वास्थ्यकर,unhealthy
अनसुना,unheard
बेसुना,unheard
असाधारण,unheard-of
बेकार,unhelpful 
अस्वास्थ्यकर,ढंग से unhygienically 
बिना,सूचना का unheralded 
बिना,हड़बड़ाए unhurriedly 
अबाधित,unhindered
कब्जे,पर से उतारना unhinge 
खतरनाक,unholy
बेकार,unholy
कँटिया,से उतारना unhook
निकालना,unhook
हुक,खोलना unhook
अप्रत्याशित,unthought-of 
आरामदाय,unhurried
अस्वास्थ्यकर,unhygienic
यूनिकॉर्न,unicorn
अपहचान,योग्य unidentifiable
अज्ञात,उड़नवस्तु विज्ञान ufology 
एकीकरण,unification
एक,समान uniform 
बराबर,uniform
अपरिवर्तनशील,uniform
बराबर,uniform
एक,समान uniform
एकसमान,त्वरण uniform
वर्दी,uniform
वर्दी,uniform
एक,समान uniform
एक,रंग uniform
एकरूपता,uniformness 
एकसमान,uniformly
वर्दी,uniform 
एक,करना unify
एकतरफ़ा,unilateral
एकतरफ़ा,unilaterally
अकल्पनीय,unimaginable 
अकल्पनाशील,ढंग से unimaginatively 
असंदिग्ध,unimpeachable
अबाधित,unimpeded 
नगण्य,unimportant 
अप्रभाव्य,unimpressionable 
जानकारी,रहित uninformative 
मूर्खतापूर्ण,uninformed
अनभिज्ञ,uninformed
निर्जन,uninhabited 
अबोधगम्य,unintelligible 
अनजाने,में किया गया unintentional 
बाधारहित,uninterrupted
लगातार,uninterrupted
संयुक्त,राष्ट्र अमेरिका Union
समुच्च,union
संघ,union
संघ,union
मेल,जोल union
मिलन,union
संयोग,union
खुश्बू,scent
संगठित,unionised 
संगठित,होना unionise
संघ,बनाना unionise
संघी,unionist
संघवादी,Unionist
संगठित,unionized 
संगठित,होना unionize
संघ,बनाना unionize
वैवाहिक,संबंध union 
अद्वितीय,unparalleled 
अद्वितीय,unequaled 
अद्वितीय,unequalled 
विलक्षण,ढंग से uniquely 
विलक्षणता,singularity 
उभयलिंगी,unisex 
अद्वैतवादी,Unitarian 
अद्वैतवादी,Unitarian 
संयुक्त,united
संयुक्त,united
संगठित,united
संयुक्त,राष्ट्र विश्वविद्यालय United Nations University
मिल,कर काम करना unite
मिलाना,unite
मिलना,unite
एक,unit
युनिट,unit
एक,unit
एकक,unit
टुकड़ी,unit
टुकड़ी,unit
युनिट,unit
टुकड़ी,unit
ईकाई,unit
ईकाई,unit
माट्रक,unit
युनिट,unit
एकक,unit
विभाग,unit
एकक,unit
युनिट,unit
खण्ड,unit
ईकाई,unit
ईकाई,मूल्य unit price
पूर्णत्व,unity
मेलमिलाप,unity
एकता,unity
पूर्ण,वस्तु unity
एकात्मकता,unity 
एक,unity
इकाई,unity
सामान्य,universal 
विशवव्यापी,universal
व्यापक,universal
व्यापक,universal
सर्वव्यापी,universal
विशवव्यापी,universal
मशीन,का सर्वक्षम universal
व्यापकअ,universal
सर्वजनीन,universal
महत्,universal
विशव्यापी,universal
सामान्य,universal
पूर्णव्यापी,तर्कवाक्य universal
